image_path	quicklook_png	flight_id	target_r_nm	target_g_nm	target_b_nm	actual_r_nm	actual_g_nm	actual_b_nm	r_band_index_1based	g_band_index_1based	b_band_index_1based
/media/lecospec/My Passport1/Hewes_Brook_1/Imaging_Spectrometer/100464_hb1_2022_flight1_2022_06_28_15_53_13/raw_11270_rd_rf_or	/home/lecospec/Documents/lecospec/Git/N_ME_TreeHealth/data/735_548_767_quicklooks_nme_flights/100464_raw_11270_rd_rf_or.png	100464	735.261	548.209	766.745	735.261	548.209	766.745	184	83	201
/media/lecospec/My Passport1/Hewes_Brook_1/Imaging_Spectrometer/100464_hb1_2022_flight1_2022_06_28_15_53_13/raw_13270_rd_rf_or	/home/lecospec/Documents/lecospec/Git/N_ME_TreeHealth/data/735_548_767_quicklooks_nme_flights/100464_raw_13270_rd_rf_or.png	100464	735.261	548.209	766.745	735.261	548.209	766.745	184	83	201
/media/lecospec/My Passport1/Hewes_Brook_1/Imaging_Spectrometer/100464_hb1_2022_flight1_2022_06_28_15_53_13/raw_13845_rd_rf_or	/home/lecospec/Documents/lecospec/Git/N_ME_TreeHealth/data/735_548_767_quicklooks_nme_flights/100464_raw_13845_rd_rf_or.png	100464	735.261	548.209	766.745	735.261	548.209	766.745	184	83	201
/media/lecospec/My Passport1/Hewes_Brook_1/Imaging_Spectrometer/100464_hb1_2022_flight1_2022_06_28_15_53_13/raw_1715_rd_rf_or	/home/lecospec/Documents/lecospec/Git/N_ME_TreeHealth/data/735_548_767_quicklooks_nme_flights/100464_raw_1715_rd_rf_or.png	100464	735.261	548.209	766.745	735.261	548.209	766.745	184	83	201
/media/lecospec/My Passport1/Hewes_Brook_1/Imaging_Spectrometer/100464_hb1_2022_flight1_2022_06_28_15_53_13/raw_3715_rd_rf_or	/home/lecospec/Documents/lecospec/Git/N_ME_TreeHealth/data/735_548_767_quicklooks_nme_flights/100464_raw_3715_rd_rf_or.png	100464	735.261	548.209	766.745	735.261	548.209	766.745	184	83	201
/media/lecospec/My Passport1/Hewes_Brook_1/Imaging_Spectrometer/100464_hb1_2022_flight1_2022_06_28_15_53_13/raw_4196_rd_rf_or	/home/lecospec/Documents/lecospec/Git/N_ME_TreeHealth/data/735_548_767_quicklooks_nme_flights/100464_raw_4196_rd_rf_or.png	100464	735.261	548.209	766.745	735.261	548.209	766.745	184	83	201
/media/lecospec/My Passport1/Hewes_Brook_1/Imaging_Spectrometer/100464_hb1_2022_flight1_2022_06_28_15_53_13/raw_6196_rd_rf_or	/home/lecospec/Documents/lecospec/Git/N_ME_TreeHealth/data/735_548_767_quicklooks_nme_flights/100464_raw_6196_rd_rf_or.png	100464	735.261	548.209	766.745	735.261	548.209	766.745	184	83	201
/media/lecospec/My Passport1/Hewes_Brook_1/Imaging_Spectrometer/100464_hb1_2022_flight1_2022_06_28_15_53_13/raw_6771_rd_rf_or	/home/lecospec/Documents/lecospec/Git/N_ME_TreeHealth/data/735_548_767_quicklooks_nme_flights/100464_raw_6771_rd_rf_or.png	100464	735.261	548.209	766.745	735.261	548.209	766.745	184	83	201
/media/lecospec/My Passport1/Hewes_Brook_1/Imaging_Spectrometer/100464_hb1_2022_flight1_2022_06_28_15_53_13/raw_8771_rd_rf_or	/home/lecospec/Documents/lecospec/Git/N_ME_TreeHealth/data/735_548_767_quicklooks_nme_flights/100464_raw_8771_rd_rf_or.png	100464	735.261	548.209	766.745	735.261	548.209	766.745	184	83	201
/media/lecospec/My Passport1/Hewes_Brook_1/Imaging_Spectrometer/100464_hb1_2022_flight1_2022_06_28_15_53_13/raw_9253_rd_rf_or	/home/lecospec/Documents/lecospec/Git/N_ME_TreeHealth/data/735_548_767_quicklooks_nme_flights/100464_raw_9253_rd_rf_or.png	100464	735.261	548.209	766.745	735.261	548.209	766.745	184	83	201
/media/lecospec/My Passport1/Hewes_Brook_1/Imaging_Spectrometer/100464_hb1_2022_flight1_2022_06_28_15_53_13/raw_9918_rd_rf_or	/home/lecospec/Documents/lecospec/Git/N_ME_TreeHealth/data/735_548_767_quicklooks_nme_flights/100464_raw_9918_rd_rf_or.png	100464	735.261	548.209	766.745	735.261	548.209	766.745	184	83	201
/media/lecospec/My Passport1/Hewes_Brook_3/Imaging_Spectrometer/100471_hewes_brook_3_2022_flight2_2022_06_28_18_20_28/raw_0_rd_rf_or	/home/lecospec/Documents/lecospec/Git/N_ME_TreeHealth/data/735_548_767_quicklooks_nme_flights/100471_raw_0_rd_rf_or.png	100471	735.261	548.209	766.745	735.261	548.209	766.745	184	83	201
/media/lecospec/My Passport1/Hewes_Brook_3/Imaging_Spectrometer/100471_hewes_brook_3_2022_flight2_2022_06_28_18_20_28/raw_10387_rd_rf_or	/home/lecospec/Documents/lecospec/Git/N_ME_TreeHealth/data/735_548_767_quicklooks_nme_flights/100471_raw_10387_rd_rf_or.png	100471	735.261	548.209	766.745	735.261	548.209	766.745	184	83	201
