Latitude,Longitude,Site Code_Tree ID
47 10 18.70,68 18 45.54,Cl-1_Bal-1
47 10 18.69,68 18 45.62,Cl-1_Bal-2
47 10 18.99,68 18 46.02,Cl-1_Asp-3
47 10 19.52,68 18 46.70,Cl-1_Asp-4
47 10 19.65,68 18 46.40,Cl-1_Asp-5
47 10 19.78,68 18 46.30,Cl-1_Bal-6
47 10 19.76,68 18 46.59,Cl-1_Bal-7
47 10 18.86,68 18 45.63,Cl-1_Asp-8
47 10 18.77,68 18 45.46,Cl-1_Asp-9
47 10 18.30,68 18 47.97,Cl-1_Asp-10
47 10 18.00,68 18 47.97,Cl-1_Bal-11
47 10 18.01,68 18 48.14,Cl-1_Asp-12
47 10 18.07,68 18 48 49,Cl-1_Bal-13
47 10 17.59,68 18 48.94,Cl-1_Bal-14
47 10 16.78,68 18 49.29,Cl-1_Asp-15
47 10 16.21,68 18 47.91,Cl-1_Asp-16
47 10 16.86,68 18 47.08,Cl-1_Bal-17
47 19 16.77,68 18 46.73,Cl-1_Bal-18
47 10 17.20,68 18 46.24,Cl-1_Bal-19
47 10 17.53,68 18 45.30,Cl-1_Asp-20
47 10 17.99,68 18 45.25,Cl-1_Asp-21
47 10 20.35,68 18 46.58,Cl-1_Asp-22
47 10 20.15,68 18 46.35,Cl-1_Bal-23
47 10 20.04,68 18 46.17,Cl-1_Bal-24
47 10 19.95,68 18 45.92,Cl-1_Asp-25
47 09 59.23,68 20 49.52,Cl-2_Asp-1
47 10 02.69,68 20 46.87,Cl-2_Asp-2
47 10 03.21,68 20 47.48,Cl-2_Asp-3
47 10 02.97,68 20 47.98,Cl-2_Asp-4
47 10 03.01,68 20 47.31,Cl-2_Asp-5
47 10 05.07,68 20 44.39,Cl-2_Asp-6
47 10 03.70,68 20 44.57,Cl-2_Bal-7
47 10 00.72,68 20 49.10,Cl-2_Asp-8
47 10 00.45,68 20 49.48,Cl-2_Asp-9
47 10 00.78,68 20 50.09,Cl-2_Asp-10
47 10 01.10,68 20 50.78,Cl-2_Asp-11
47 10 00.90,68 20 51.00,Cl-2_Bal-12
47 10 00.68,68 20 51.01,Cl-2_Asp-13
47 10 00.84,68 20 51.01,Cl-2_Bal-14
47 10 00.31,68 20 50.62,Cl-2_Asp-15
47 09 59.99,68 20 50.32,Cl-2_Asp-16
47 10 00.19,68 20 51.64,Cl-2_Asp-17
47 10 00.04,68 20 52.06,Cl-2_Asp-18
47 10 00.10,68 20 51.46,Cl-2_Asp-19
47 09 59.08,68 20 51.31,Cl-2_Bal-20
47 09 58.76,68 20 51.98,Cl-2_Bal-21
47 09 59.07,68 20 53.59,Cl-2_Asp-22
