Sampling_Date,Site_Code,Tree_ID,Genus,Species,Location_deg_min_sec_North_nosym,Location_deg_min_sec_West,dbh_cm,No_stem_cankers,Total_tree_height_m,Crown_density_percent,Crown_dieback_percent,Vigor_class,Uncompacted_live_crown_ratio,diameter_squared_x_height_cubic_cm,SLA_cm2_per_g,Area_per_needle_cm2,AVG_Fv_Fm,Branch_1_Amax_normalized_umol_per_m2_sec,Branch_1_gsw_normalized_umol_per_m2_sec,Average_Condensed_TANNINS_percent_DW,Average_TN_percent_DW,Average_CN,Average_SUGAR_percent_DW,Average_STARCH_percent_DW
6/29/2022,HB1,R-1,Picea ,rubens,46 50 45.47,68 37 34.17,not sampled,0,2.3,not sampled,0,1,1.00,not sampled,38.5,0.015,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled,not sampled,5.8
6/29/2022,HB1,W-2,Picea ,glauca,46 50 45.50,68 37 34.00,1.3,0,1.7,not sampled,0,1,1.00,266,not sampled,1.058,not sampled,not sampled,not sampled,3.3,not sampled,not sampled,20.7,6.5
6/29/2022,HB1,W-3,Picea ,glauca,46 50 45.60,68 37 33.48,1.3,0,2.2,not sampled,0,1,1.00,355,50.0,0.192,0.82,not sampled,not sampled,2.2,not sampled,not sampled,not sampled,2.7
6/29/2022,HB1,W-4,Picea ,glauca,46 50 45.91,68 37 33.12,5.3,0,3.9,65,0,1,1.00,11154,69.2,0.158,0.84,not sampled,0.20,2.3,1.33,37,13.0,1.4
6/29/2022,HB1,R-5,Picea ,rubens,46 50 45.26,68 37 34.12,22.2,0,16.0,20,15,2,0.34,788534,43.8,0.035,0.86,not sampled,0.43,2.7,0.91,52,24.7,4.5
6/29/2022,HB1,R-6,Picea ,rubens,46 50 45.90,68 37 34.71,15.7,0,10.4,45,10,2,not sampled,257258,38.9,0.039,0.83,not sampled,0.26,2.3,1.14,41,21.0,5.0
6/29/2022,HB1,R-7,Picea ,rubens,46 50 44.16,68 37 30.61,15.5,0,12.5,50,10,2,not sampled,300098,48.8,0.088,0.85,not sampled,0.01,2.9,1.08,44,22.9,7.1
6/29/2022,HB1,R-8,Picea ,rubens,46 50 44.31,68 37 30.75,14.7,0,11.5,15,20,2,not sampled,250142,39.8,0.070,0.83,not sampled,0.01,2.7,0.81,58,20.5,4.4
6/29/2022,HB1,R-9,Picea ,rubens,46 50 44.37,68 37 30.84,18.3,0,12.5,25,5,2,not sampled,416409,43.8,0.149,0.92,not sampled,0.12,2.5,1.08,44,21.4,4.6
6/29/2022,HB1,W-10,Picea ,glauca,46 50 44.54,68 37 30.60,14.0,0,10.3,30,5,2,not sampled,200812,not sampled,0.418,0.84,not sampled,not sampled,2.9,1.13,42,23.9,4.3
6/29/2022,HB1,W-11,Picea ,glauca,46 50 44.70,68 37 30.80,6.6,0,7.4,80,0,1,1.00,32282,not sampled,not sampled,0.87,not sampled,not sampled,3.8,1.11,43,21.2,7.8
6/29/2022,HB1,R-12,Picea ,rubens,46 50 44.77,68 37 30.89,1.3,0,4.3,65,0,1,1.00,686,44.8,0.055,0.85,not sampled,0.01,3.7,1.10,44,14.4,7.8
6/29/2022,HB1,W-13,Picea ,glauca,46 50 44.86,68 37 30.92,7.9,0,5.7,80,0,1,1.00,35193,55.6,0.079,0.89,not sampled,0.03,1.9,1.05,46,20.0,4.2
6/29/2022,HB1,W-14,Picea ,glauca,46 50 44.93,68 37 30.83,15.0,0,10.4,55,20,1,0.28,233151,21.2,0.503,0.85,not sampled,0.02,2.8,1.05,45,24.0,3.5
6/29/2022,HB1,W-15,Picea ,glauca,46 50 45.09,68 37 30.81,12.4,0,7.4,85,5,1,1.00,114916,45.0,0.161,0.82,not sampled,0.10,1.7,1.10,43,16.7,3.7
6/29/2022,HB1,W-16,Picea ,glauca,46 50 45.08,68 37 30.88,12.4,0,8.3,65,5,1,not sampled,128738,33.3,0.085,0.89,47.9,0.41,1.1,1.28,37,16.1,3.4
6/29/2022,HB1,W-17,Picea ,glauca,46 50 45.33,68 37 31.02,15.0,0,14.1,not sampled,not sampled,2,not sampled,315925,not sampled,0.175,0.85,not sampled,not sampled,5.0,0.93,52,19.5,4.2
6/29/2022,HB1,W-18,Picea ,glauca,46 50 45.62,68 37 31.17,13.5,0,8.6,40,25,2,not sampled,155428,50.0,0.113,0.83,not sampled,not sampled,2.0,0.98,48,24.5,6.2
6/29/2022,HB1,W-19,Picea ,glauca,46 50 45.84,68 37 31.13,17.8,0,12.0,60,20,1,1.00,378622,40.8,0.223,0.80,0.6,0.00,3.2,0.94,50,18.6,4.3
6/29/2022,HB1,W-20,Picea ,glauca,46 50 45.88,68 37 31.18,16.5,0,10.1,70,5,1,not sampled,275710,40.0,0.091,0.81,not sampled,not sampled,2.4,0.91,50,24.8,7.2
6/29/2022,HB1,W-21,Picea ,glauca,46 50 45.95,68 37 31.21,19.1,0,11.3,45,25,2,not sampled,408612,not sampled,0.191,0.86,not sampled,not sampled,2.3,0.96,48,23.3,6.6
6/29/2022,HB1,W-22,Picea ,glauca,46 50 46.04,68 37 31.18,21.8,0,11.6,35,30,1,1.00,552781,30.4,0.115,0.87,not sampled,not sampled,2.6,1.09,43,19.4,2.8
6/29/2022,HB1,W-23,Picea ,glauca,46 50 46.39,68 37 31.29,13.7,0,7.5,60,10,1,1.00,140854,33.3,0.111,0.82,105.8,0.41,3.1,1.22,39,20.0,2.7
6/29/2022,HB1,W-24,Picea ,glauca,46 50 46.48,68 37 31.50,15.0,0,10.8,65,15,1,1.00,243582,46.7,0.135,0.78,not sampled,not sampled,3.2,1.01,46,21.6,1.5
6/29/2022,HB1,W-25,Picea ,glauca,46 50 46.64,68 37 31.54,not sampled,0,11.8,70,5,1,1.00,not sampled,35.3,0.130,0.89,not sampled,not sampled,2.7,1.06,45,24.5,2.7
